CRI Rank;Country;CRI score;Fatalities in 2014;Rank;Fatalities per 100,000 inhabitants;Fatalities Rank;Losses in PPP (US$ mn);Losses PPP Rank;Losses per unit GDP in percent;Losses GDP Rank
1;Serbia;8.17;59;17;0.824;8;3300.307;10;3.4435;3
2;Afghanistan;10.67;434;5;1.388;4;337.085;31;0.5543;10
3;Bosnia and Herzegovina;11.50;26;39;0.672;10;3584.776;8;9.3617;1
4;Philippines;12.50;328;6;0.330;18;3312.686;9;0.4777;12
5;Pakistan;12.67;1227;2;0.659;11;2220.527;14;0.2511;19
6;Bulgaria;13.83;31;36;0.430;12;2383.604;13;1.8463;5
7;Nepal;15.83;533;4;1.896;3;143.101;41;0.2131;22
8;Burundi;16.00;80;13;0.869;7;73.382;53;0.8727;8
8;Bolivia;16.00;47;24;0.416;13;449.454;28;0.6395;9
10;India;16.17;1863;1;0.146;36;36950.507;2;0.4986;11
11;Nicaragua;19.33;43;27;0.694;9;123.964;45;0.4176;13
12;Solomon Islands;20.67;23;41;4.000;2;23.727;71;2.1688;4
13;Sri Lanka;23.50;80;13;0.382;15;312.053;32;0.1430;33
14;Morocco;24.83;53;20;0.160;34;708.256;25;0.2732;18
15;Japan;25.33;180;9;0.142;38;7459.281;5;0.1565;31
16;Cambodia;26.00;55;18;0.359;17;91.072;50;0.1816;27
17;Tonga;28.83;1;90;0.980;6;34.384;67;6.8493;2
18;China;29.00;730;3;0.053;61;37642.859;1;0.2081;24
19;Indonesia;29.17;242;8;0.096;48;4011.817;7;0.1494;32
20;United States;30.00;271;7;0.085;52;24810.560;3;0.1430;33
21;Brazil;31.00;100;12;0.049;64;7736.838;4;0.2362;21
22;Slovenia;35.50;2;85;0.097;45;770.301;24;1.2514;7
23;Mozambique;35.67;42;28;0.159;35;52.570;60;0.1684;28
24;Honduras;36.50;12;56;0.145;37;93.120;49;0.2374;20
25;Croatia;37.50;3;80;0.071;56;1120.213;21;1.2625;6
26;Mexico;39.83;35;33;0.029;77;4551.521;6;0.2118;23
27;France;40.50;41;29;0.064;58;2741.786;12;0.1058;43
28;Malaysia;41.00;24;40;0.078;54;983.578;22;0.1278;38
29;Vanuatu;41.33;21;43;7.985;1;0.598;109;0.0876;47
30;Congo;42.67;165;10;0.208;27;29.002;68;0.0502;62
31;Niger;42.83;36;32;0.210;26;15.706;77;0.0872;48
32;Italy;43.17;27;38;0.044;69;2859.903;11;0.1339;36
32;Colombia;43.17;103;11;0.216;23;127.468;44;0.0198;79
34;Madagascar;43.67;21;43;0.089;50;54.871;59;0.1611;30
35;Chinese Taipei;44.50;53;20;0.226;22;170.090;39;0.0158;82
36;South Sudan;45.33;45;25;0.395;14;8.246;83;0.0351;68
37;South Africa;45.83;53;20;0.098;44;283.076;33;0.0400;67
38;Bangladesh;46.33;77;15;0.049;65;439.811;29;0.0820;52
38;Sudan;46.33;77;15;0.206;28;43.536;61;0.0272;73
40;Guatemala;47.00;13;54;0.082;53;142.093;42;0.1186;40
41;Australia;50.50;10;62;0.042;72;1340.386;19;0.1219;39
42;Haiti;50.67;19;45;0.182;30;10.759;81;0.0585;59
43;Romania;51.83;23;41;0.115;42;120.388;46;0.0306;70
44;Paraguay;52.67;12;56;0.174;31;24.969;70;0.0427;64
45;South Korea;53.83;37;31;0.073;55;397.169;30;0.0223;76
46;Portugal;54.00;17;47;0.164;33;59.123;55;0.0210;78
47;Ireland;54.17;1;90;0.022;79;488.293;27;0.2066;25
48;Ecuador;55.50;34;35;0.212;25;23.531;72;0.0130;88
49;Turkey;55.83;10;62;0.013;91;1956.069;17;0.1291;37
50;United Kingdom;57.00;12;56;0.019;82;2093.780;16;0.0815;53
50;Uruguay;57.00;4;76;0.118;41;38.874;62;0.0542;61
52;Tajikistan;57.17;16;49;0.193;29;6.060;88;0.0271;74
53;Iran;57.67;13;54;0.017;86;1141.039;20;0.0841;50
54;Comoros;58.00;1;90;0.129;39;1.366;98;0.1148;41
55;Zimbabwe;59.00;7;69;0.053;62;26.009;69;0.0954;46
56;Poland;60.00;48;23;0.126;40;38.822;63;0.0040;97
57;Tanzania;60.83;45;25;0.096;47;18.655;74;0.0146;86
58;New Zealand;61.00;2;85;0.044;70;137.677;43;0.0856;49
59;Germany;61.17;12;56;0.015;88;2095.513;15;0.0559;60
60;Malawi;61.67;17;47;0.097;46;5.821;89;0.0297;71
61;El Salvador;62.83;0;101;0.000;101;144.847;40;0.2829;17
62;Chile;63.00;16;49;0.090;49;57.611;57;0.0140;87
62;Viet Nam;63.00;55;18;0.061;60;55.836;58;0.0109;91
64;Belgium;64.00;0;101;0.000;101;797.243;23;0.1649;29
65;Thailand;64.33;35;33;0.051;63;117.783;47;0.0110;90
66;Switzerland;65.17;7;69;0.086;51;73.570;52;0.0155;84
67;Venezuela;65.50;2;85;0.007;99;590.930;26;0.1092;42
68;Argentina;65.67;14;52;0.033;76;202.840;36;0.0213;77
69;Panama;66.50;9;66;0.229;21;2.420;93;0.0032;99
70;Canada;67.83;0;101;0.000;101;1687.854;18;0.1058;43
71;Peru;68.33;14;52;0.045;68;58.578;56;0.0157;83
72;Antigua and Barbuda;69.67;0;101;0.000;101;8.141;85;0.4006;15
72;Slovakia;69.67;1;90;0.018;83;96.639;48;0.0631;57
74;Samoa;70.00;2;85;1.042;5;0.060;133;0.0060;96
75;Georgia;70.17;8;68;0.214;24;1.038;103;0.0030;101
